Ackermannviridae
Alphaflexiviridae
Alternaviridae
Anelloviridae
Ascoviridae
Aspiviridae
Assiduviridae
Autographiviridae
Baculoviridae
Betaflexiviridae
Blumeviridae
Botourmiaviridae 
Bromoviridae
Caulimoviridae
Crevaviridae
Cruciviridae
Deltaflexiviridae
Demerecviridae
Dicistroviridae
Endornaviridae
Fiersviridae
Geminiviridae
Genomoviridae
Herelleviridae
Iflaviridae
Inoviridae
Intestiviridae
Iridoviridae
Kyanoviridae
Kolmioviridae
Leviviridae
Marnaviridae
Marseilleviridae
Microviridae
Mimiviridae
Myoviridae
Mycoreovirus 1
Nimaviridae
Nudiviridae
Orthomyxoviridae
Partitiviridae
Peribunyaviridae
Phasmaviridae
Phenuiviridae
Phycodnaviridae
Pithoviridae
Podoviridae
Polydnaviridae
Potyviridae
Poxviridae
Retroviridae
Rountreeviridae
Salasmaviridae
Schitoviridae
Siphoviridae
Smacoviridae
Solemoviridae
Straboviridae
Suoliviridae
Tolecusatellitidae
Tombusviridae
Totiviridae
Tymoviridae
Zobellviridae
Virgaviridae
Vilyaviridae
